video,artifact_type,path,note
DOD_111688954,metadata,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dod_111688954-metadata.txt,OpenCV source video metadata
DOD_111688954,phase_track_csv,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dod_111688954-phase-track.csv,phase-aligned sample table
DOD_111688954,phase_summary_csv,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dod_111688954-phase-summary.csv,phase summary
DOD_111688954,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-annotated-00.jpg,annotated phase-review sheet
DOD_111688954,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-annotated-01.jpg,annotated phase-review sheet
DOD_111688954,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-annotated-02.jpg,annotated phase-review sheet
DOD_111688954,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-annotated-03.jpg,annotated phase-review sheet
DOD_111688954,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-annotated-04.jpg,annotated phase-review sheet
DOD_111688954,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-annotated-05.jpg,annotated phase-review sheet
DOD_111688954,zoom_patch_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-patches-00.jpg,candidate zoom-patch sheet
DOD_111688954,zoom_patch_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-patches-01.jpg,candidate zoom-patch sheet
DOD_111688954,zoom_patch_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-patches-02.jpg,candidate zoom-patch sheet
DOD_111688954,zoom_patch_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688954/sheets/DOD_111688954-phase-patches-03.jpg,candidate zoom-patch sheet
